,level_0,movie,year,time,certificate,genre,rating,story,votes,cast,link,index,genres_bin,director,director_bin,cast_bin,words_bin,combined_features
10,106,The Immortal Ashwatthama,,,U,"['Action', 'Adventure', 'Fantasy']",,"['Add', 'a', 'Plot']",,"AdityaDhar,VickyKaushal",https://www.imdb.com/title/tt11069946/,106,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",AdityaDhar,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot AdityaDhar,VickyKaushal U Action Adventure Fantasy "
11,2142,Chivaraku Migiledi,,63 min,U,"['Comedy', 'Crime', 'Thriller']",,"['Add', 'a', 'Plot']",,"AnveshMichael,JagadeeshPrathapBandari,RajTirandasu,RohitPenumatsa",https://www.imdb.com/title/tt13063450/,2142,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",RohitPenumatsa,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot AnveshMichael,JagadeeshPrathapBandari,RajTirandasu,RohitPenumatsa U Comedy Crime Thriller "
12,3032,#US2,,,U,['Drama'],,"['Add', 'a', 'Plot']",,"AishwaryaRajesh,N.V.NirmalKumar,UdayaSankar",https://www.imdb.com/title/tt11023698/,3032,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",N.V.NirmalKumar,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot AishwaryaRajesh,N.V.NirmalKumar,UdayaSankar U Drama "
13,4578,Matti: Naa Totlo,,,U,['Drama'],,"['About', 'Cotton', 'Farmer', 'families', 'who', 'consumed', 'the', 'tragic', 'toxin', 'in', 'mid', ""1990's.""]",,",AjayKumarChoudary,RameshBabu,Ramu",https://www.imdb.com/title/tt5355964/,4578,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","About Cotton Farmer families who consumed the tragic toxin in mid 1990 s. ,AjayKumarChoudary,RameshBabu,Ramu U Drama "
14,3010,Prathyayam,,120 min,U,"['Family', 'Thriller']",,"['Provocative,', 'shocking', 'and', 'surprisingly', 'tender', 'amidst', 'an', 'explosion', 'of', 'unbridled', 'emotions,', '""Prathyayam""(Trust)', 'in', 'telugu', 'explores', 'the', 'consequences', 'of', 'sex', 'trafficking,', 'testing', 'the', '...', 'See', 'full', 'summary', '»']",,"KurupNina,MenonLakshmi,RajeshTouchriver,Siddique",https://www.imdb.com/title/tt2404605/,3010,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",RajeshTouchriver,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Provocative, shocking and surprisingly tender amidst an explosion of unbridled emotions, ""Prathyayam""(Trust) in telugu explores the consequences of sex trafficking, testing the ... See full summary » KurupNina,MenonLakshmi,RajeshTouchriver,Siddique U Family Thriller "
15,2100,WWWWho..Where..Why (Evaru Ekkada Enduku),,,U,['Thriller'],,"['Add', 'a', 'Plot']",,"AdithArun,HarshaChemudu,K.V.Guhan,RiyazKhan",https://www.imdb.com/title/tt14202494/,2100,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",K.V.Guhan,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot AdithArun,HarshaChemudu,K.V.Guhan,RiyazKhan U Thriller "
16,2982,16-May,,,U,"['Comedy', 'Thriller']",,"['Varun', 'starts', 'to', 'Vijayawada', 'on', 'may', '16', 'to', 'attend', 'an', 'interview', 'asking', 'his', 'uncle', 'Bhaskar', 'to', 'receive', ""varun's"", 'girlfriend', 'brother', 'from', 'airport', 'whom', 'he', 'need', 'to', 'receive', 'and', 'convince', 'for', 'marriage', 'and', 'what', 'happens', 'next', 'on', 'his', 'way', 'is', 'the', 'film']",,"Dharma,VamsiYakasiri",https://www.imdb.com/title/tt12836460/,2982,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Dharma,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Varun starts to Vijayawada on may 16 to attend an interview asking his uncle Bhaskar to receive varun s girlfriend brother from airport whom he need to receive and convince for marriage and what happens next on his way is the film Dharma,VamsiYakasiri U Comedy Thriller "
17,2053,Vedalam Telugu Remake,,,U,['Drama'],,"['Add', 'a', 'Plot']",,"Chiranjeevi,MeherRamesh",https://www.imdb.com/title/tt13131610/,2053,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MeherRamesh,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot Chiranjeevi,MeherRamesh U Drama "
18,3303,Priya Bhavani Shankar Untitled Film,,,U,['Drama'],,"['Add', 'a', 'Plot']",,"ManchuManoj,PriyaBhavaniShankar,SrikanthNReddy",https://www.imdb.com/title/tt11923914/,3303,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",SrikanthNReddy,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot ManchuManoj,PriyaBhavaniShankar,SrikanthNReddy U Drama "
19,1721,Son of India,,,U,"['Drama', 'Thriller', 'Action', 'Comedy', 'Romance', 'Family']",,"['Add', 'a', 'Plot']",,"Ali,DiamondRatnaBabu,MohanBabu,VennelaKishore",https://www.imdb.com/title/tt13439744/,1721,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",DiamondRatnaBabu,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot Ali,DiamondRatnaBabu,MohanBabu,VennelaKishore U Drama Thriller Action Comedy Romance Family "
20,1742,Thariode: The Lost City,,,U,"['Adventure', 'Drama', 'History']",,"['Australian', 'geologist', 'Mr', 'Smith', 'arrives', 'at', 'Thariode,', 'British', 'India', 'for', 'gold', 'mining.', 'Based', 'on', 'the', '2019', 'documentary', 'film', '""Thariode""', 'by', 'Nirmal', 'Baby', 'Varghese.']",,"AlexxONell,BillHutchens,NirmalBabyVarghese,RogerWard",https://www.imdb.com/title/tt10933766/,1742,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",NirmalBabyVarghese,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Australian geologist Mr Smith arrives at Thariode, British India for gold mining. Based on the 2019 documentary film ""Thariode"" by Nirmal Baby Varghese. AlexxONell,BillHutchens,NirmalBabyVarghese,RogerWard U Adventure Drama History "
21,1743,Have a Nice Life,,82 min,U,"['Comedy', 'Drama']",,"['After', 'hitting', 'dead', 'ends', 'in', 'life,', 'Jyothi,', 'an', 'Indian', 'housewife,', 'and', 'Sophie,', 'a', 'stoner', 'musician,', 'find', 'themselves', 'on', 'the', 'run', 'from', 'the', 'law,', 'together', 'on', 'a', 'wild,', 'surreal', 'American', 'road', 'trip', 'from', 'Durham,', 'North', 'Carolina', 'to', 'Montreal,', 'Canada.']",,"JagathiKamalakanthan,LucyKaminsky,OnurTukel,PrashanthKamalakanthan",https://www.imdb.com/title/tt13472850/,1743,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",PrashanthKamalakanthan,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","After hitting dead ends in life, Jyothi, an Indian housewife, and Sophie, a stoner musician, find themselves on the run from the law, together on a wild, surreal American road trip from Durham, North Carolina to Montreal, Canada. JagathiKamalakanthan,LucyKaminsky,OnurTukel,PrashanthKamalakanthan U Comedy Drama "
22,1745,Mdhuravada,,,U,['Drama'],,"['Add', 'a', 'Plot']",,"AjithvasanUggina,SamanthaRuthPrabhu",https://www.imdb.com/title/tt9319938/,1745,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",AjithvasanUggina,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot AjithvasanUggina,SamanthaRuthPrabhu U Drama "
23,755,Rashna:The Ray of Light,,150 min,U,"['Mystery', 'Thriller']",,"['Rishabh', 'Thakkar', 'has', 'just', 'arrived', 'from', 'Durban,South', 'Africa', 'and', 'is', 'enjoying', 'his', 'life', 'in', 'India', 'before', 'joining', 'his', ""Dad's"", 'business', 'but', 'as', 'the', 'events', 'turn', 'upside', 'down', 'he', 'is', 'seen', 'busy', 'chasing', 'the', '...', 'See', 'full', 'summary', '»']",,"NargisFakhri,ShrutiHaasan,TiscaChopra,VibhaSingh",https://www.imdb.com/title/tt7830722/,755,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",VibhaSingh,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Rishabh Thakkar has just arrived from Durban,South Africa and is enjoying his life in India before joining his Dad s business but as the events turn upside down he is seen busy chasing the ... See full summary » NargisFakhri,ShrutiHaasan,TiscaChopra,VibhaSingh U Mystery Thriller "
24,1753,Gurthunda Seethakalam,,,U,['Romance'],,"['The', 'film', 'is', 'set', 'against', 'an', 'urban', 'backdrop', 'and', 'Satya', 'Dev', 'will', 'be', 'stepping', 'into', 'the', 'shoes', 'of', 'a', 'middleaged', 'software', 'employee', 'who', 'has', 'endured', 'several', 'heartbreaks', 'in', 'his', 'quest', 'to', 'find', 'true', 'love.']",,"Nagashekar,SatyadevKancharana,TamannaahBhatia",https://www.imdb.com/title/tt13130370/,1753,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Nagashekar,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The film is set against an urban backdrop and Satya Dev will be stepping into the shoes of a middleaged software employee who has endured several heartbreaks in his quest to find true love. Nagashekar,SatyadevKancharana,TamannaahBhatia U Romance "
25,5169,Sadaa Nee Premalo,,,U,"['Drama', 'Thriller', 'Action', 'Comedy', 'Romance', 'Family']",,"['Add', 'a', 'Plot']",,"ChaitanyaSagiraju,LakshmanKKrishna,PrantikaDas",https://www.imdb.com/title/tt12740662/,5169,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",LakshmanKKrishna,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot ChaitanyaSagiraju,LakshmanKKrishna,PrantikaDas U Drama Thriller Action Comedy Romance Family "
26,3454,Detective Rishi #Phoenix,,101 min,U,"['Action', 'Crime', 'Drama']",,"['An', 'insomniac', 'Detective', 'officer', 'investigates', 'a', 'case', 'of', 'a', 'frustrated', 'mute', 'hotel', 'waiter', 'who', 'decides', 'to', 'take', 'justice', 'into', 'his', 'own', 'hands', 'after', 'his', 'childhood', 'friend', 'gets', 'killed.', 'He', 'targets', 'not', '...', 'See', 'full', 'summary', '»']",,"ArohiNaidu,SaiChakravarthi,SandhyaJanak,ThummalaNarsimhaReddy",https://www.imdb.com/title/tt10077612/,3454,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",SaiChakravarthi,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","An insomniac Detective officer investigates a case of a frustrated mute hotel waiter who decides to take justice into his own hands after his childhood friend gets killed. He targets not ... See full summary » ArohiNaidu,SaiChakravarthi,SandhyaJanak,ThummalaNarsimhaReddy U Action Crime Drama "
27,1789,Viswadarshanam,,,U,['Biography'],,"['Add', 'a', 'Plot']",,"JanardhanaMaharshi,K.Viswanath,TanikellaBharani",https://www.imdb.com/title/tt10256366/,1789,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",JanardhanaMaharshi,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot JanardhanaMaharshi,K.Viswanath,TanikellaBharani U Biography "
